question_id,respondent_id,metier,structure,delai_actuel,importance,question,dans_le_perimetre,reponse_delivree,lignes_renvoyees,format_propose,format_accepte,format_prefere,formats_acceptes,latence_s,plus_rapide_qu_aujourdhui,servie
R01-Q1,R01,Infirmier ou infirmière,Hôpital général ou central,Un à trois jours,4,Les informations sur les nombres de consultations,1,1,0,table,1,1,table,59.3,1,1
R01-Q2,R01,Infirmier ou infirmière,Hôpital général ou central,Un à trois jours,4,Quel est l'état général du patient ?,0,0,0,number,0,0,table,63.5,1,0
R01-Q3,R01,Infirmier ou infirmière,Hôpital général ou central,Un à trois jours,4,Quelle est la répartition des consultations par discipline ?,1,1,0,table,1,1,table,21.6,1,1
R01-Q4,R01,Infirmier ou infirmière,Hôpital général ou central,Un à trois jours,0,Les examens demandés,1,0,0,table,0,0,,34.6,1,0
R02-Q1,R02,Infirmier ou infirmière,École des infirmières en formation,Quelques heures,3,Les traitements sont-ils administrés dans les délais prévus ?,0,0,0,table,0,0,pie_chart,15.2,1,0
R02-Q2,R02,Infirmier ou infirmière,École des infirmières en formation,Quelques heures,3,Combien de patients ont réalisé les examens prescrits et suivi leur traitement ?,1,1,1,number,0,0,pie_chart,47.6,1,0
R02-Q3,R02,Infirmier ou infirmière,École des infirmières en formation,Quelques heures,3,Les protocoles de prise en charge ont-ils été respectés ?,0,0,0,table,0,0,bar_chart,43.6,1,0
R03-Q1,R03,Infirmier ou infirmière,Hôpital militaire,Quelques heures,4,Quel est la fréquence de consultation du centre ?,1,1,0,number,0,0,line_chart,43.6,1,0
R03-Q2,R03,Infirmier ou infirmière,Hôpital militaire,Quelques heures,5,Que pensez vous du suivi chez nous ?,0,0,0,table,0,0,pie_chart,52.4,1,0
R03-Q3,R03,Infirmier ou infirmière,Hôpital militaire,Quelques heures,4,Quelle est la qualité de la passation de service entre les équipes ?,0,0,0,table,0,0,line_chart,43.0,1,0
R03-Q4,R03,Infirmier ou infirmière,Hôpital militaire,Quelques heures,4,Quels sont les principaux motifs de consultation ?,1,1,0,table,0,0,bar_chart;doughnut_chart,31.8,1,0
R03-Q5,R03,Infirmier ou infirmière,Hôpital militaire,Quelques heures,3,Comparaison de la fréquentation entre deux périodes données,1,1,0,table,0,0,bar_chart;pie_chart;line_chart,36.9,1,0
R03-Q6,R03,Infirmier ou infirmière,Hôpital militaire,Quelques heures,4,Quels est l'impact réel du manque de personnel qualifié sur la fréquentation de la structure ?,0,0,0,table,0,0,bar_chart;pie_chart;doughnut_chart,34.5,1,0
R03-Q7,R03,Infirmier ou infirmière,Hôpital militaire,Quelques heures,0,Quels sont les besoins en soins de santé mentale des populations fréquentant la structure ?,0,0,0,table,0,0,,20.9,1,0
R04-Q1,R04,Médecin,[structure],Quelques minutes,5,Combien de personnes sont effectivement passés en visite systématique en janvier ?,1,1,1,number,1,0,number;table;pie_chart,14.8,1,1
R04-Q2,R04,Médecin,[structure],Quelques minutes,5,Combien de patients sont passés le mois dernier pour la contre-expertise venant de [entreprise 1] et [entreprise 2]?,1,1,1,number,0,0,table;pie_chart,26.6,1,0
R04-Q3,R04,Médecin,[structure],Quelques minutes,5,Quels employés sont arrivés après 07h30 ?,0,0,0,table,1,0,number;table;pie_chart,42.0,1,0
R04-Q4,R04,Médecin,[structure],Quelques minutes,5,Combien de patients avons-nous diagnostiqué et traité pour la fièvre typhoïde ce mois?,1,1,0,number,1,0,number;pie_chart,18.8,1,1
R04-Q5,R04,Médecin,[structure],Quelques minutes,5,Comparer le nombre de consultations entre deux périodes.,1,1,0,table,0,0,number;pie_chart,18.3,1,0
R04-Q6,R04,Médecin,[structure],Quelques minutes,5,Quels sont les sociétés qui sont partenaires de la [structure] ?,0,0,0,table,0,0,number;pie_chart,44.2,1,0
R04-Q7,R04,Médecin,[structure],Quelques minutes,0,J'aimerais connaître un détail sur le système de santé au Cameroun Comment se passe le recrutement à la [structure],0,0,0,table,0,0,,33.4,1,0
R05-Q1,R05,Médecin,Hôpital général ou central,Quelques heures,5,Le rapport d'activité mensuelle par médecin est-il possible d'avoir sur exel ?,1,1,0,table,1,0,table,20.8,1,1
R05-Q2,R05,Médecin,Hôpital général ou central,Quelques heures,5,Avoir le nombre de nouveau patient et d'anciens par mois ainsi que leur diagnostic et leur évolution.,1,1,0,table,0,0,bar_chart,16.7,1,0
R05-Q3,R05,Médecin,Hôpital général ou central,Quelques heures,5,"Heure d 'arriver et de départ du personnel, la quantité des produits en stocks, le montre de lit vide et ceux occupés",0,0,0,number,0,0,bar_chart,58.5,1,0
R05-Q4,R05,Médecin,Hôpital général ou central,Quelques heures,5,Comparer l'activité du service d'un mois à l'autre.,1,1,0,line_chart,0,0,bar_chart,24.5,1,0
R05-Q5,R05,Médecin,Hôpital général ou central,Quelques heures,5,Comparer l'activité du service entre deux périodes.,1,0,0,line_chart,0,0,bar_chart,33.7,1,0
R05-Q6,R05,Médecin,Hôpital général ou central,Quelques heures,5,Comment calculer le salaire mensuel des médecins ainsi que les quotes parts,0,0,0,table,1,1,table,15.2,1,0
R05-Q7,R05,Médecin,Hôpital général ou central,Quelques heures,0,Sur quelle base le salaire est calculé ?,0,0,0,table,0,0,,15.5,1,0
R06-Q1,R06,Technicienne  principale du génie sanitaire,Hôpital général ou central,Quelques heures,1,Pourquoi ils n'appliquent pas correctement l'hygiène chez eux,0,0,0,number,0,0,table,114.5,1,0
R06-Q2,R06,Technicienne  principale du génie sanitaire,Hôpital général ou central,Quelques heures,3,Le personnel applique-t-il correctement les règles d'hygiène ?,0,0,0,table,1,1,table,12.0,1,0
